non_17_digit
100040110100
4033040040080200
5013080430040201
5013080430040405
5013080430060000
5013080430060100
5013080440010101
5013080440010103
5013080440010200
5013080440020100
5013080440020103
5013080440020300
5013080440020900
5013080440030000
5013080440030100
5013080440030300
5013080440030400
5013080440050100
5013080440050200
5013080440050201
5013080440050603
5013080440080501
5013080440080603
5013080440110101
5013080440120000
5013080440140000
G104180
G104560
